model,mAP@0.5,mAP@0.5:0.95,precision,recall,FPS,epochs
yolov8s_fruits,0.4374,0.2923,0.5492,0.443,186.1,20
yolov8n_fruits,0.4409,0.2923,0.5291,0.4352,195.33,20
